,volts,amperes,radiacion,R/R0,T,T4,boltz,boltzConst
0,2.0,0.4,0.6,3.5714285714285716,811.4357142857143,433527323752.74426,1.3839958109357853e-12,3.0447907840587274e-08
1,2.5,0.45,0.8,3.9682539682539684,890.8007936507936,629683598327.4279,1.2704793361697341e-12,2.795054539573415e-08
2,3.0,0.49000000000000005,1.2,4.373177842565597,971.7855685131193,891829391759.0076,1.3455488360090592e-12,2.96020743921993e-08
3,3.5,0.53,1.7,4.716981132075472,1040.5462264150942,1172318218657.264,1.4501182127384543e-12,3.1902600680245995e-08
4,4.0,0.5700000000000001,2.5,5.012531328320802,1099.6562656641604,1462270816010.217,1.7096696266025541e-12,3.761273178525619e-08
5,4.5,0.58,3.2,5.541871921182266,1205.5243842364532,2112049036657.7964,1.5151163370069416e-12,3.3332559414152716e-08
6,5.0,0.63,3.9,5.6689342403628125,1230.9368480725625,2295847779786.82,1.6987188934460338e-12,3.737181565581274e-08
7,5.5,0.6599999999999999,5.9,5.952380952380953,1287.6261904761907,2748901680776.353,2.146311758350595e-12,4.7218858683713086e-08
8,6.0,0.6900000000000001,7.0,6.211180124223603,1339.3860248447204,3218274267726.9253,2.175078758885307e-12,4.7851732695476754e-08
9,6.5,0.71,7.8,6.5392354124748495,1404.99708249497,3896742333865.2046,2.0016719946333037e-12,4.403678388193268e-08
10,7.0,0.74,9.4,6.756756756756756,1448.5013513513513,4402259292168.101,2.1352672289710874e-12,4.697587903736392e-08
11,7.5,0.77,11.0,6.957328385899816,1488.6156771799629,4910552443967.246,2.2400738258103352e-12,4.928162416782738e-08
12,8.0,0.8,12.5,7.142857142857143,1525.7214285714285,5418773316433.711,2.306795149022159e-12,5.0749493278487494e-08
